"Factors","p^a >","Smallest q^2ß","Smallest q^2ß <","Largest q^2ß","Largest q^2ß >","Q^2 =1 mod 16","Q^2 =1 mod 32","N >","N=1 mod 12","N=117 mod 468","N=81 mod 324","105 | N","s(n)/n˜"
(5^325)(3^162)(13^162)(17^162)(19^162)(23^162)(29^162)(31^162)(37^162)(41^162),10^227,q1^2ß1,10^78,q9^2ß9,10^261,no,no,10^2105,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174171066459802641366222995886654791114225406505984598183529881893836975520535917670974399738994145210758205198040845581464133
(5^329)(3^164)(13^164)(17^164)(19^164)(23^164)(29^164)(31^164)(37^164)(41^164),10^229,q1^2ß1,10^79,q9^2ß9,10^264,yes,no,10^2131,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175112824478573047366067945980663760107076533313605286326092317149054620067503699793953607303603056066228295492933435726858
(5^333)(3^166)(13^166)(17^166)(19^166)(23^166)(29^166)(31^166)(37^166)(41^166),10^232,q1^2ß1,10^80,q9^2ß9,10^267,no,no,10^2157,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175562420553676567493075952572427387427262091905717186636782364183730075571013258551681814893542816656008632144465964064875
(5^337)(3^168)(13^168)(17^168)(19^168)(23^168)(29^168)(31^168)(37^168)(41^168),10^235,q1^2ß1,10^81,q9^2ß9,10^270,yes,yes,10^2183,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175612375673132514173854619971512234907282709527062953337970147187582903960292098413651615736869456721539780616866162743313
(5^341)(3^170)(13^170)(17^170)(19^170)(23^170)(29^170)(31^170)(37^170)(41^170),10^238,q1^2ß1,10^82,q9^2ß9,10^274,no,no,10^2209,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175617926241960952693941138571410551293951667040545816304768789743566551559100858398314926941683527839932130446869912142671
(5^345)(3^172)(13^172)(17^172)(19^172)(23^172)(29^172)(31^172)(37^172)(41^172),10^241,q1^2ß1,10^83,q9^2ß9,10^277,yes,no,10^2235,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618542971830779196172973971399253114692662319821689967746416694231401292301831729944183742218424630864613761313217332946
(5^349)(3^174)(13^174)(17^174)(19^174)(23^174)(29^174)(31^174)(37^174)(41^174),10^243,q1^2ß1,10^84,q9^2ß9,10^280,no,no,10^2261,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618611497371871029754289015842442205886106239741231485855041910971940151546384322347434497833413163190445240695797592294
(5^353)(3^176)(13^176)(17^176)(19^176)(23^176)(29^176)(31^176)(37^176)(41^176),10^246,q1^2ß1,10^84,q9^2ß9,10^283,yes,yes,10^2287,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618619111320881233485546243002796549352044453065624987867111379498666691462445721503351248457300777893315405071639788858
(5^357)(3^178)(13^178)(17^178)(19^178)(23^178)(29^178)(31^178)(37^178)(41^178),10^249,q1^2ß1,10^85,q9^2ß9,10^287,no,no,10^2313,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618619957315215700566797046020613698626037587879446488090674653779414084786452543631786442971066068415856534446733365932
(5^361)(3^180)(13^180)(17^180)(19^180)(23^180)(29^180)(31^180)(37^180)(41^180),10^252,q1^2ß1,10^86,q9^2ß9,10^290,yes,no,10^2339,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620051314586196909158246355926715212036825080982210337737239810608239600231079423834797917039989585027771043965985605
(5^365)(3^182)(13^182)(17^182)(19^182)(23^182)(29^182)(31^182)(37^182)(41^182),10^255,q1^2ß1,10^87,q9^2ß9,10^293,no,no,10^2365,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620061758960696502753935282072605943814518103375068365188638258518701246206472289617948466592647492713463999214054457
(5^369)(3^184)(13^184)(17^184)(19^184)(23^184)(29^184)(31^184)(37^184)(41^184),10^257,q1^2ß1,10^88,q9^2ß9,10^296,yes,yes,10^2391,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620062919446752013153456273866593802900928439196497034905460308286530317981515941371631860987387260234096549797173219
(5^373)(3^186)(13^186)(17^186)(19^186)(23^186)(29^186)(31^186)(37^186)(41^186),10^260,q1^2ß1,10^89,q9^2ß9,10^299,no,no,10^2417,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063048389647069864514161843703565021640698732211331540662758260733548178743013788707793697913901069722388750853081
(5^377)(3^188)(13^188)(17^188)(19^188)(23^188)(29^188)(31^188)(37^188)(41^188),10^263,q1^2ß1,10^90,q9^2ß9,10^303,yes,no,10^2443,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063062716635409499076149396715760812830949791735142277907474924533907089546021835049563999083527829236370856817510
(5^381)(3^190)(13^190)(17^190)(19^190)(23^190)(29^190)(31^190)(37^190)(41^190),10^266,q1^2ß1,10^91,q9^2ß9,10^306,no,no,10^2469,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064308523002791805259124828227011852088798348899026490221220511724746301911617976427365880153024737924424146891
(5^385)(3^192)(13^192)(17^192)(19^192)(23^192)(29^192)(31^192)(37^192)(41^192),10^269,q1^2ß1,10^92,q9^2ß9,10^309,yes,yes,10^2495,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064485399402046552937983507389922854437576861538665221637475620371152608121593857189962190889157571430376072378
(5^389)(3^194)(13^194)(17^194)(19^194)(23^194)(29^194)(31^194)(37^194)(41^194),10^271,q1^2ß1,10^93,q9^2ß9,10^312,no,no,10^2521,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064505052335297080457856693963579632476330029609736191794837299109642197700480066163584003193172330708815175210
(5^393)(3^196)(13^196)(17^196)(19^196)(23^196)(29^196)(31^196)(37^196)(41^196),10^274,q1^2ß1,10^94,q9^2ß9,10^316,yes,no,10^2547,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507235994547139071175936916208163369524826062077410701210818969474374320356311605097537893618415073086186636
(5^397)(3^198)(13^198)(17^198)(19^198)(23^198)(29^198)(31^198)(37^198)(41^198),10^277,q1^2ß1,10^95,q9^2ß9,10^319,no,no,10^2573,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507478623352701139322519466500222357657581223448657246363432287233505055898116654154597304779091113560743461
(5^401)(3^200)(13^200)(17^200)(19^200)(23^200)(29^200)(31^200)(37^200)(41^200),10^280,q1^2ß1,10^96,q9^2ß9,10^322,yes,yes,10^2599,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507505582108874702449917527643784467450109574712129084713722655873408470958317215160937239352499562502360886
(5^405)(3^202)(13^202)(17^202)(19^202)(23^202)(29^202)(31^202)(37^202)(41^202),10^283,q1^2ß1,10^97,q9^2ß9,10^325,no,no,10^2625,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508577526227320575183978881958035204834947074737066752643807944508850409450610828308343193989390162540600
(5^409)(3^204)(13^204)(17^204)(19^204)(23^204)(29^204)(31^204)(37^204)(41^204),10^285,q1^2ß1,10^98,q9^2ß9,10^329,yes,no,10^2651,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508910350377611477991362352866209399804432892804620312523935952408892570687654791349576954154926569227235
(5^413)(3^206)(13^206)(17^206)(19^206)(23^206)(29^206)(31^206)(37^206)(41^206),10^288,q1^2ß1,10^99,q9^2ß9,10^332,no,no,10^2677,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508947330838754911636627182967117643689931317034348485843950175508897255269548565020825149728875058859083
(5^417)(3^208)(13^208)(17^208)(19^208)(23^208)(29^208)(31^208)(37^208)(41^208),10^291,q1^2ß1,10^100,q9^2ß9,10^335,yes,yes,10^2703,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951439778881959819434386311663004121653364170984949546173978075564442445314539873186060348202668818177
(5^421)(3^210)(13^210)(17^210)(19^210)(23^210)(29^210)(31^210)(37^210)(41^210),10^294,q1^2ß1,10^101,q9^2ß9,10^338,no,no,10^2729,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951896327784965173079631127723599725178036075055667735309956138527463242621870412337272639239069924743
(5^425)(3^212)(13^212)(17^212)(19^212)(23^212)(29^212)(31^212)(37^212)(41^212),10^297,q1^2ß1,10^102,q9^2ß9,10^341,yes,no,10^2755,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951947055440854656817991662841443681125221842174636422991731478856687775656018250020740671576447825473
(5^429)(3^214)(13^214)(17^214)(19^214)(23^214)(29^214)(31^214)(37^214)(41^214),10^299,q1^2ß1,10^103,q9^2ß9,10^345,no,no,10^2781,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951952691847064599455587277854537454008242482965632943845262072226601612659812454207792675169489814443
(5^433)(3^216)(13^216)(17^216)(19^216)(23^216)(29^216)(31^216)(37^216)(41^216),10^302,q1^2ß1,10^104,q9^2ß9,10^348,yes,yes,10^2807,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953318114421259748653457300436762106355887497965890606765471489925372326900699117465120013161146551
(5^437)(3^218)(13^218)(17^218)(19^218)(23^218)(29^218)(31^218)(37^218)(41^218),10^305,q1^2ß1,10^105,q9^2ß9,10^351,no,no,10^2833,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953387699683110892327477238870018561701821334891773580265849185850234512132726329650947218013516785
(5^441)(3^220)(13^220)(17^220)(19^220)(23^220)(29^220)(31^220)(37^220)(41^220),10^308,q1^2ß1,10^105,q9^2ß9,10^354,yes,no,10^2859,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953395431378872130513479454251491501184702872327982799543668929841885866047396019893816907441557922
(5^445)(3^222)(13^222)(17^222)(19^222)(23^222)(29^222)(31^222)(37^222)(41^222),10^311,q1^2ß1,10^106,q9^2ß9,10^358,no,no,10^2885,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396290456178934756368589293877383349467487598672712796760012507624905371248207698580206266895826
(5^449)(3^224)(13^224)(17^224)(19^224)(23^224)(29^224)(31^224)(37^224)(41^224),10^313,q1^2ß1,10^107,q9^2ß9,10^361,yes,yes,10^2911,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396385909213024116689604298586925812219111517638258713770132803818131962787339676887239469711149
(5^453)(3^226)(13^226)(17^226)(19^226)(23^226)(29^226)(31^226)(37^226)(41^226),10^316,q1^2ß1,10^108,q9^2ß9,10^364,no,no,10^2937,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396396515105700712280828187999097196969291953078874926771257281172934917402798785588020936690629
(5^457)(3^228)(13^228)(17^228)(19^228)(23^228)(29^228)(31^228)(37^228)(41^228),10^319,q1^2ß1,10^109,q9^2ß9,10^367,yes,no,10^2963,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397693538220334013186397933782906385978668127832283771382223101246356804516464332552210799460
(5^461)(3^230)(13^230)(17^230)(19^230)(23^230)(29^230)(31^230)(37^230)(41^230),10^322,q1^2ß1,10^110,q9^2ß9,10^370,no,no,10^2989,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397824475166958650115087926525762987832747577716434549173883315503183404707317526389019033775
(5^465)(3^232)(13^232)(17^232)(19^232)(23^232)(29^232)(31^232)(37^232)(41^232),10^325,q1^2ß1,10^111,q9^2ß9,10^374,yes,yes,10^3015,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397839023716583609773831259052747054705423072148006857817401117087275249172967881259775504254
(5^469)(3^234)(13^234)(17^234)(19^234)(23^234)(29^234)(31^234)(37^234)(41^234),10^327,q1^2ß1,10^112,q9^2ß9,10^377,no,no,10^3041,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840640222097494180358296000189728802387015973737114333347539485507676335817920689859556530
(5^473)(3^236)(13^236)(17^236)(19^236)(23^236)(29^236)(31^236)(37^236)(41^236),10^330,q1^2ß1,10^113,q9^2ß9,10^380,yes,no,10^3067,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840819833821259114416855661016692590938565287707142835119364196422390465023480626535562338
(5^477)(3^238)(13^238)(17^238)(19^238)(23^238)(29^238)(31^238)(37^238)(41^238),10^333,q1^2ß1,10^114,q9^2ß9,10^383,no,no,10^3093,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840839790679455218201140067775244122999848544814923779760678053190692034935209508388451872
(5^481)(3^240)(13^240)(17^240)(19^240)(23^240)(29^240)(31^240)(37^240)(41^240),10^336,q1^2ß1,10^115,q9^2ß9,10^387,yes,yes,10^3119,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842008108143674177171668526194293228880017826899440276379592831614431592068273038772932
(5^485)(3^242)(13^242)(17^242)(19^242)(23^242)(29^242)(31^242)(37^242)(41^242),10^339,q1^2ß1,10^116,q9^2ß9,10^390,no,no,10^3145,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842254489109058174508513054077645476550181494896735889235319458383586776163691333253049
(5^489)(3^244)(13^244)(17^244)(19^244)(23^244)(29^244)(31^244)(37^244)(41^244),10^341,q1^2ß1,10^117,q9^2ß9,10^393,yes,no,10^3171,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842281864771878618657051334953573504069088569118657623997066861357937352174293365973062
(5^493)(3^246)(13^246)(17^246)(19^246)(23^246)(29^246)(31^246)(37^246)(41^246),10^344,q1^2ß1,10^118,q9^2ß9,10^396,no,no,10^3197,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842284906512192001340222255050898840460078244032204483415038795021754082842138036275286
(5^497)(3^248)(13^248)(17^248)(19^248)(23^248)(29^248)(31^248)(37^248)(41^248),10^347,q1^2ß1,10^119,q9^2ß9,10^399,yes,yes,10^3223,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285244483337932749463468395046100059077096800376356683702343206622608471898555197755
(5^501)(3^250)(13^250)(17^250)(19^250)(23^250)(29^250)(31^250)(37^250)(41^250),10^350,q1^2ß1,10^120,q9^2ß9,10^403,no,no,10^3249,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285282035687480683823603211062462236743635996839898157998293004941333541871946189141
(5^505)(3^252)(13^252)(17^252)(19^252)(23^252)(29^252)(31^252)(37^252)(41^252),10^352,q1^2ß1,10^121,q9^2ß9,10^406,yes,no,10^3275,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286208170763787641395968397613589817695907558069432920065204754525216313434077073
(5^509)(3^254)(13^254)(17^254)(19^254)(23^254)(29^254)(31^254)(37^254)(41^254),10^355,q1^2ß1,10^122,q9^2ß9,10^409,no,no,10^3301,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286671780017465843372941434852629048147008748977352355817671400435402362488286843
(5^513)(3^256)(13^256)(17^256)(19^256)(23^256)(29^256)(31^256)(37^256)(41^256),10^358,q1^2ß1,10^123,q9^2ß9,10^412,yes,yes,10^3327,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286723292156763421370382883434744518197131103522676737567945472203200812383199039
(5^517)(3^258)(13^258)(17^258)(19^258)(23^258)(29^258)(31^258)(37^258)(41^258),10^361,q1^2ß1,10^124,q9^2ß9,10^416,no,no,10^3353,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729015727796485592320822166090681536033587361046113317975924621845084593744839
(5^521)(3^260)(13^260)(17^260)(19^260)(23^260)(29^260)(31^260)(37^260)(41^260),10^364,q1^2ß1,10^125,q9^2ß9,10^419,yes,no,10^3379,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729651680133492728091704247351366351467196676420488401312641557250003728249928
(5^525)(3^262)(13^262)(17^262)(19^262)(23^262)(29^262)(31^262)(37^262)(41^262),10^366,q1^2ß1,10^126,q9^2ß9,10^422,no,no,10^3405,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729722341504271298732913367491442442070931044795418966127832327850550298750493
(5^529)(3^264)(13^264)(17^264)(19^264)(23^264)(29^264)(31^264)(37^264)(41^264),10^369,q1^2ß1,10^126,q9^2ß9,10^425,yes,yes,10^3431,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729730192767691139915269936395895341026901530170411251107297969028388806583889
(5^533)(3^266)(13^266)(17^266)(19^266)(23^266)(29^266)(31^266)(37^266)(41^266),10^372,q1^2ß1,10^127,q9^2ß9,10^429,no,no,10^3457,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731065130293344491087332940834552022009361878743727216127484714815307454267
(5^537)(3^268)(13^268)(17^268)(19^268)(23^268)(29^268)(31^268)(37^268)(41^268),10^375,q1^2ß1,10^128,q9^2ß9,10^432,yes,no,10^3483,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731162059471367221733710334716686577021343179669557894886319791084918662087
(5^541)(3^270)(13^270)(17^270)(19^270)(23^270)(29^270)(31^270)(37^270)(41^270),10^378,q1^2ß1,10^129,q9^2ß9,10^435,no,no,10^3509,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731172829380036414027752267370257083133785546439094636970634799559319907400
(5^545)(3^272)(13^272)(17^272)(19^272)(23^272)(29^272)(31^272)(37^272)(41^272),10^380,q1^2ß1,10^130,q9^2ß9,10^438,yes,yes,10^3535,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174026036555213171534704331764917146279142746820941646669800500920045768
(5^549)(3^274)(13^274)(17^274)(19^274)(23^274)(29^274)(31^274)(37^274)(41^274),10^383,q1^2ß1,10^131,q9^2ß9,10^441,no,no,10^3561,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174158998390635298621641771932454258778431225457197721784800605542283364
(5^553)(3^276)(13^276)(17^276)(19^276)(23^276)(29^276)(31^276)(37^276)(41^276),10^386,q1^2ß1,10^132,q9^2ß9,10^445,yes,no,10^3587,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174173771927904423853523709728847271278352167527892841242022839389198653
(5^557)(3^278)(13^278)(17^278)(19^278)(23^278)(29^278)(31^278)(37^278)(41^278),10^389,q1^2ß1,10^133,q9^2ß9,10^448,no,no,10^3613,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175413432045437768177258372890939333898938869081187848380865372189241
(5^561)(3^280)(13^280)(17^280)(19^280)(23^280)(29^280)(31^280)(37^280)(41^280),10^392,q1^2ß1,10^134,q9^2ß9,10^451,yes,yes,10^3639,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175595821394439314249874888895791340070802351435448582420646036965973
(5^565)(3^282)(13^282)(17^282)(19^282)(23^282)(29^282)(31^282)(37^282)(41^282),10^394,q1^2ß1,10^135,q9^2ß9,10^454,no,no,10^3665,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175616086877661708257943390674108229645453849474810886202843888607832
(5^569)(3^284)(13^284)(17^284)(19^284)(23^284)(29^284)(31^284)(37^284)(41^284),10^397,q1^2ß1,10^136,q9^2ß9,10^458,yes,no,10^3691,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618338598019752036617668649476772931526238145851142178643649901372
(5^573)(3^286)(13^286)(17^286)(19^286)(23^286)(29^286)(31^286)(37^286)(41^286),10^400,q1^2ß1,10^137,q9^2ß9,10^461,no,no,10^3717,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618588789170645789803699535628833296645392442633392842621401156209
(5^577)(3^288)(13^288)(17^288)(19^288)(23^288)(29^288)(31^288)(37^288)(41^288),10^403,q1^2ß1,10^138,q9^2ß9,10^464,yes,yes,10^3743,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618616588187411762379925189645728892769742920053642916396706851191
(5^581)(3^290)(13^290)(17^290)(19^290)(23^290)(29^290)(31^290)(37^290)(41^290),10^406,q1^2ß1,10^139,q9^2ß9,10^467,no,no,10^3769,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618619676967052425999505817869828403450226306433670702371740817300
(5^585)(3^292)(13^292)(17^292)(19^292)(23^292)(29^292)(31^292)(37^292)(41^292),10^408,q1^2ß1,10^140,q9^2ß9,10^470,yes,no,10^3795,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620020164790277512792554339172793525835571587007123035633480201
(5^589)(3^294)(13^294)(17^294)(19^294)(23^294)(29^294)(31^294)(37^294)(41^294),10^411,q1^2ß1,10^141,q9^2ß9,10^474,no,no,10^3821,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620058297872261014268858391322170200903267715155614220510442746
(5^593)(3^296)(13^296)(17^296)(19^296)(23^296)(29^296)(31^296)(37^296)(41^296),10^414,q1^2ß1,10^142,q9^2ß9,10^477,yes,yes,10^3847,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620062534881370292210669952672100942577456173838779907718994140
(5^597)(3^298)(13^298)(17^298)(19^298)(23^298)(29^298)(31^298)(37^298)(41^298),10^417,q1^2ß1,10^143,q9^2ß9,10^480,no,no,10^3873,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063005660160211981982348377648802763477113692464984075499850
(5^601)(3^300)(13^300)(17^300)(19^300)(23^300)(29^300)(31^300)(37^300)(41^300),10^420,q1^2ß1,10^144,q9^2ß9,10^483,yes,no,10^3899,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063057968914647512128170122709676117479440342874437004000485
(5^605)(3^302)(13^302)(17^302)(19^302)(23^302)(29^302)(31^302)(37^302)(41^302),10^422,q1^2ß1,10^145,q9^2ß9,10^487,no,no,10^3925,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063063780998473682144372538827550934590809970697709551611666
(5^609)(3^304)(13^304)(17^304)(19^304)(23^304)(29^304)(31^304)(37^304)(41^304),10^425,q1^2ß1,10^146,q9^2ß9,10^490,yes,yes,10^3951,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064426785565478812839473951759247603184373789184279124020
(5^613)(3^306)(13^306)(17^306)(19^306)(23^306)(29^306)(31^306)(37^306)(41^306),10^428,q1^2ß1,10^146,q9^2ß9,10^493,no,no,10^3977,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064498539686789553780244521115726826781529688237026625392
(5^617)(3^308)(13^308)(17^308)(19^308)(23^308)(29^308)(31^308)(37^308)(41^308),10^431,q1^2ß1,10^147,q9^2ß9,10^496,yes,no,10^4003,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064506512366935191662552362155335629403435899242887458878
(5^621)(3^310)(13^310)(17^310)(19^310)(23^310)(29^310)(31^310)(37^310)(41^310),10^434,q1^2ß1,10^148,q9^2ß9,10^499,no,no,10^4029,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507398220284706982808788937514385250314367132427551488
(5^625)(3^312)(13^312)(17^312)(19^312)(23^312)(29^312)(31^312)(37^312)(41^312),10^436,q1^2ß1,10^149,q9^2ß9,10^503,yes,yes,10^4055,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507496648434653129503947468867580344411974675709784000
(5^629)(3^314)(13^314)(17^314)(19^314)(23^314)(29^314)(31^314)(37^314)(41^314),10^439,q1^2ß1,10^150,q9^2ß9,10^506,no,no,10^4081,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507507584895758256914520639017935354867264402741143168
(5^633)(3^316)(13^316)(17^316)(19^316)(23^316)(29^316)(31^316)(37^316)(41^316),10^442,q1^2ß1,10^151,q9^2ß9,10^509,yes,no,10^4107,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508800058103271071250991256863689362296594633516409
(5^637)(3^318)(13^318)(17^318)(19^318)(23^318)(29^318)(31^318)(37^318)(41^318),10^445,q1^2ß1,10^152,q9^2ß9,10^512,no,no,10^4133,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508935076141605977554363727855726528411282621557880
(5^641)(3^320)(13^320)(17^320)(19^320)(23^320)(29^320)(31^320)(37^320)(41^320),10^448,q1^2ß1,10^153,q9^2ß9,10^516,yes,yes,10^4158,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508950078145865411588071780188175102424025731340266
(5^645)(3^322)(13^322)(17^322)(19^322)(23^322)(29^322)(31^322)(37^322)(41^322),10^450,q1^2ß1,10^154,q9^2ß9,10^519,no,no,10^4184,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951745035227570925150452669558277314330521316086
(5^649)(3^324)(13^324)(17^324)(19^324)(23^324)(29^324)(31^324)(37^324)(41^324),10^453,q1^2ß1,10^155,q9^2ß9,10^522,yes,no,10^4210,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951930245156699740381416278600852302142164646733
(5^653)(3^326)(13^326)(17^326)(19^326)(23^326)(29^326)(31^326)(37^326)(41^326),10^456,q1^2ß1,10^156,q9^2ß9,10^525,no,no,10^4236,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951950824037714053184856679605582856343458350138
