"Factors","p^a >","Smallest q^2ß","Smallest q^2ß <","Largest q^2ß","Largest q^2ß >","Q^2 =1 mod 16","Q^2 =1 mod 32","N >","N=1 mod 12","N=117 mod 468","N=81 mod 324","105 | N","s(n)/n˜"
(5^77)(3^38)(13^38)(17^38)(19^38)(23^38)(29^38)(31^38)(37^38)(41^38),10^53,q1^2ß1,10^19,q9^2ß9,10^61,no,no,10^494,no,yes,yes,no,2.685233535897081293011573029757897967643486990738846542271573487728153793145659594389719314919870018289514427362479126383575198064637975636869554065409801195485390987556633549754804238655347368417583
(5^81)(3^40)(13^40)(17^40)(19^40)(23^40)(29^40)(31^40)(37^40)(41^40),10^56,q1^2ß1,10^20,q9^2ß9,10^64,yes,yes,10^520,no,yes,yes,no,2.685233535897081293600553108746489164855950966429941027826798586864489741704360758249899488265268416752460483476233538450934942810386529290974254551685959412996433246188196678077745017415045527244799
(5^85)(3^42)(13^42)(17^42)(19^42)(23^42)(29^42)(31^42)(37^42)(41^42),10^59,q1^2ß1,10^21,q9^2ß9,10^67,no,no,10^546,no,yes,yes,no,2.685233535897081293665995339745221520101780286955394006964048281960257406152628464138642122452396192259933442482668160334242480499309783183196478550807387694193649448344655467845784491365386868571495
(5^89)(3^44)(13^44)(17^44)(19^44)(23^44)(29^44)(31^44)(37^44)(41^44),10^62,q1^2ß1,10^21,q9^2ß9,10^70,yes,no,10^572,no,yes,yes,no,2.685233535897081293673266698745080670684650211398418768580531953171832044899708649424775698250843043039494896883335929754303939717293977714198309686851654596384986482674151761465536237734387111292928
(5^93)(3^46)(13^46)(17^46)(19^46)(23^46)(29^46)(31^46)(37^46)(41^46),10^65,q1^2ß1,10^22,q9^2ß9,10^74,no,no,10^598,no,yes,yes,no,2.685233535897081293674074627522842798527191314113956545355034574501580659946920472189417291899542397648863063792181388009558589693801697166435744476928663924090530761631936820942485522121262923925972
(5^97)(3^48)(13^48)(17^48)(19^48)(23^48)(29^48)(31^48)(37^48)(41^48),10^67,q1^2ß1,10^23,q9^2ß9,10^77,yes,yes,10^624,no,yes,yes,no,2.685233535897081293674164397387038590509695881082347537805825901113624791551550780734183514405363426579766087662663293552484956032016252915345049266002767582794103764786693406554604978306010714823037
(5^101)(3^50)(13^50)(17^50)(19^50)(23^50)(29^50)(31^50)(37^50)(41^50),10^70,q1^2ß1,10^24,q9^2ß9,10^80,no,no,10^650,no,yes,yes,no,2.685233535897081293674174371816393678507751944078835413466254994588503006611033136887393877400085028930861933117009358001446160563758313784717471570065389446656655132236708151371937275011855024678257
(5^105)(3^52)(13^52)(17^52)(19^52)(23^52)(29^52)(31^52)(37^52)(41^52),10^73,q1^2ß1,10^25,q9^2ß9,10^83,yes,no,10^676,no,yes,yes,no,2.685233535897081293674175480086322021618647062189556288466324519399389751124598196329073236786759423178970584297165052478007087245605265062459289471797624767943848509495379374308126508102156229710608
(5^109)(3^54)(13^54)(17^54)(19^54)(23^54)(29^54)(31^54)(37^54)(41^54),10^76,q1^2ß1,10^26,q9^2ß9,10^87,no,no,10^702,no,yes,yes,no,2.685233535897081293674175603227425170853190964201858607910342893413511466691375359484939738664276781286507678889727889289740654446380020851217443529720985444356848941706522531214728994547021280433946
(5^113)(3^56)(13^56)(17^56)(19^56)(23^56)(29^56)(31^56)(37^56)(41^56),10^78,q1^2ß1,10^27,q9^2ß9,10^90,yes,yes,10^728,no,yes,yes,no,2.685233535897081293674175616909769965212584731092114421181897923690705972196163129570303483369263250838655780090105035828273361425135639303069577920768540221496956560727069469057787121734333042024058
